subst relation Ntrain Ntest topv P1 P1w
head 435 94463 326 1060709 3.175846627780189e-05 1.7297437287819615e-08
head 372 3718 465 1443086 0.002420656266810113 1.8805752703927744e-06
head 313 10388 257 1523423 0.0005775895263765884 2.480030812803478e-07
head 193 412626 7275 940956 4.362303878088148e-05 5.302168885625807e-07
head 139 146870 366 255424 0.006141485667597195 3.7554256826002027e-06
head 199 8278 1552 117061 0.000362406378352259 9.397064190922055e-07
head 163 6228 1972 1632453 0.0009633911368015414 3.174053195464051e-06
head 97 21854 1548 1350598 0.00032030749519538755 8.284049810330417e-07
head 5 168715 719 1295526 4.741724209465667e-05 5.6959979593877376e-08
head 355 32359 1301 1346565 0.003183040267004543 6.918693205622503e-06
head 487 7108 275 248072 0.0016882386043894203 7.756595870423522e-07
head 259 89527 604 1628732 0.00012286796162051672 1.2398816596099543e-07
head 150 173742 1693 1445264 7.482358899978128e-05 2.116411622500467e-07
head 241 25394 150 2372855 0.0004725525714735764 1.1842571999177413e-07
head 197 113406 3723 1010864 6.17251291818775e-05 3.839367529887242e-07
head 35 79779 3044 2446632 0.0001378808959751313 7.012185379301064e-07
head 319 887 1183 1388788 0.009019165727170236 1.7826076080151953e-05
head 212 24395 153 1971494 0.00012297601967616316 3.1435220210499434e-08
head 94 11512 401 147 0.002953439888811675 1.9786872378650853e-06
head 87 954 1372 368806 0.018867924528301886 4.324967872455311e-05
head 298 8963 349 1026043 0.0039049425415597456 2.2769039935382273e-06
head 39 3641 474 499028 0.004394397143641857 3.480024402735042e-06
head 154 173563 1693 249831 8.066235315130529e-05 2.281563127213247e-07
head 391 45775 403 2468568 0.0002184598580010923 1.470893866847331e-07
head 194 30054 288 2469658 0.00023291408797497838 1.1207090774897339e-07
head 488 16782 1407 1020256 0.0006554641878202837 1.5408051088445427e-06
head 15 1800 404 246339 0.005 3.374861956450915e-06
head 383 79861 2062 1746408 0.0004507832358723282 1.552962832025002e-06
head 58 2692 19 2090116 0.018945022288261514 6.013860716389112e-07
head 421 21 7 955949 0.3333333333333333 3.89835539524033e-06
head 417 9811 724 422023 0.0028539394557129754 3.452136548144735e-06
head 520 3 361 9953 0.3333333333333333 0.0002010437568116799
head 254 25210 464 2334841 0.00015866719555731853 1.2300131943502103e-07
head 104 1611 353 896256 0.002482929857231533 1.4643463203190602e-06
head 374 11716 154 1326822 0.0020484807101399795 5.270565846757156e-07
head 51 31215 702 1245265 0.00016017940092904052 1.8786610060127083e-07
head 304 944 119 1817310 0.005296610169491525 1.0530515103668265e-06
head 357 582 290 824587 0.22852233676975944 0.00011072133107100115
head 294 33170 902 2414950 0.0005426590292432922 8.177832576397177e-07
head 101 103 8 2305163 0.019417475728155338 2.5952990148618014e-07
head 0 912 1174 2204597 0.03070175438596491 6.0219332026475636e-05
head 160 510 7 2387697 0.00392156862745098 4.586300464988625e-08
head 514 14726 407 2497811 0.0010186065462447372 6.926367267207336e-07
head 214 842 4 693011 0.0011876484560570072 7.936929885117741e-09
head 464 5934 192 824587 0.0018537243006403776 5.946357500178809e-07
head 279 14397 73 2415241 0.0002778356602069876 3.3885624249402455e-08
head 446 535 220 613342 0.009345794392523364 3.435132925044884e-06
head 27 2231 919 2297672 0.004034065441506051 6.193884383818808e-06
head 20 118537 45 923045 1.6872368964964525e-05 1.2685080327117744e-09
head 416 9159 341 412281 0.00305710230374495 1.7416825283681007e-06
head 427 1903 85 2436395 0.0010509721492380452 1.492501502569303e-07
head 529 3966 114 881918 0.0007564296520423601 1.4407148748348748e-07
head 121 152 132 1590967 0.06578947368421052 1.4508916696571156e-05
head 463 14 8 1997672 0.21428571428571427 2.864097841401059e-06
head 261 23046 999 2332209 0.00034713182330990195 5.79381417018647e-07
head 451 6 50 1117862 0.16666666666666666 1.3922697840144037e-05
head 127 4068 150 1251139 0.011307767944936086 2.8338234541886093e-06
head 264 676 78 949987 0.008875739644970414 1.1566548974888893e-06
head 202 93406 179 294227 0.00018200115624263967 5.4429183813748555e-08
head 147 20 51 1220559 0.1 8.520691078168153e-06
head 9 1853 11 1479733 0.005396654074473826 9.917949891521927e-08
head 263 76268 343 880753 0.0004457964021608014 2.554673030027164e-07
head 275 26666 386 512113 0.000862521563039076 5.562396074017796e-07
head 390 7886 164 2204743 0.01141262997717474 3.1270457030767333e-06
head 123 1062 232 1049542 0.002824858757062147 1.0949375928520058e-06
head 277 295 460 498917 0.030508474576271188 2.3446767074520536e-05
head 283 3254 74 1498649 0.0021511985248924403 2.6596032505942026e-07
head 429 4245 397 157777 0.002591283863368669 1.7187398294815271e-06
head 477 4180 165 454594 0.0023923444976076554 6.594962134805071e-07
head 2 7997 212 432549 0.0036263598849568587 1.2844328571395106e-06
head 110 1377 287 714300 0.0014524328249818446 6.964382187575319e-07
head 219 289 66 299988 0.01384083044982699 1.5261974656600802e-06
head 336 2389 175 2274382 0.008371703641691083 2.447690704420467e-06
head 323 15180 331 1164586 0.002042160737812912 1.1293344074127904e-06
head 138 6956 197 62919 0.0008625646923519264 2.8389813997211475e-07
head 177 41151 449 2395857 0.00041311268255935456 3.098985277066981e-07
head 215 55770 759 1632523 0.0014523937600860678 1.8417504906169238e-06
head 267 2150 53 625249 0.017674418604651163 1.5650407507004705e-06
head 262 2673 30 625276 0.0029928918817807705 1.5000886561771354e-07
head 300 4735 191 1063787 0.0021119324181626186 6.739350253349554e-07
head 508 84 17 2435321 0.08333333333333333 2.3668586328244862e-06
head 324 1418 27 410121 0.0021156558533145277 9.543626446135407e-08
head 373 686 13 819893 0.004373177842565598 9.498283657707595e-08
head 61 29948 120 883761 0.00023373848003205557 4.686149132785225e-08
head 74 143 66 708128 0.08391608391608392 9.253239179911114e-06
head 250 1512569 275 1099509 1.983380592885349e-06 9.112622869926989e-10
head 308 34076 172 385581 0.00032280784129592674 9.27635085581143e-08
head 72 24534 164 1628732 0.0007744354772968126 2.1219430897475583e-07
head 112 92 11 2055091 0.043478260869565216 7.990417890865275e-07
head 247 841 141 692093 0.005945303210463734 1.4005472500311364e-06
head 268 2862 29 601615 0.0020964360587002098 1.0157439933689992e-07
head 412 273 4 502661 0.01098901098901099 7.343840618977076e-08
head 105 26968 730 2300612 0.00018540492435479086 2.2612509841230677e-07
head 65 1739 140 1167119 0.0011500862564692352 2.690066977739159e-07
head 96 215 80 2067653 0.027906976744186046 3.729987886475798e-06
head 420 1902 109 420323 0.0010515247108307045 1.914919955300568e-07
head 433 1124 153 1687161 0.017793594306049824 4.548411607563071e-06
head 93 717 201 554776 0.01394700139470014 4.683618855010798e-06
head 280 16723 556 2090116 0.00029898941577468155 2.777379656444449e-07
head 92 528 42 2034555 0.017045454545454544 1.1960863144487377e-06
head 414 2827 67 2424831 0.01874778917580474 2.098599223078238e-06
head 347 1108 3 2057847 0.0036101083032490976 1.809448094747962e-08
head 447 1294 48 878120 0.00231839258114374 1.859228892408725e-07
head 511 12856 231 1712937 0.0010889856876166771 4.2028006983533753e-07
head 21 3463 80 2497265 0.0014438348252959862 1.9297992963526246e-07
head 44 2407 63 539000 0.0029081844619858743 3.0610268786889177e-07
head 238 478 3 2357112 0.006276150627615063 3.145714156350536e-08
head 222 250 35 2434017 0.064 3.7424211794307177e-06
head 23 1915 28 805210 0.0010443864229765013 4.8856673360714325e-08
head 472 23 6 544071 0.08695652173913043 8.716819517307572e-07
head 141 18 128 981911 0.1111111111111111 2.3761404313845826e-05
head 251 22 13 1021873 0.22727272727272727 4.936229234232887e-06
head 26 856 15 1488072 0.002336448598130841 5.8553402131446885e-08
head 288 607 20 1627364 0.03789126853377265 1.2661168381811381e-06
head 522 41606 128 795660 0.0002884199394318127 6.167936513712804e-08
head 88 7 39 2476885 0.14285714285714285 9.308317984553442e-06
head 239 27772 41 1643893 0.00036007489557828026 2.466501273711244e-08
head 431 9805 202 680428 0.010810810810810811 3.6484994123793673e-06
head 213 12 1 1317328 0.08333333333333333 1.3922697840144037e-07
head 52 1156 105 1172794 0.01124567474048443 1.972783655895842e-06
head 37 1544 12 2394610 0.003238341968911917 6.492449770015355e-08
head 271 4025 19 1627364 0.0012422360248447205 3.943323114972473e-08
head 66 22260 80 987304 0.0008086253369272237 1.0807916382645508e-07
head 320 2765 98 1262345 0.004701627486437613 7.698018248829007e-07
head 500 475 13 496082 0.00631578947368421 1.3717521240394547e-07
head 89 8837 128 1130549 0.0005658028742786014 1.2099843771902933e-07
head 207 1392 10 2408049 0.0021551724137931034 3.600697717278631e-08
head 62 12932 3 49140 0.0007732755954222085 3.8757896863995164e-09
head 84 728 16 1176008 0.0013736263736263737 3.671920309488538e-08
head 393 664 35 982307 0.004518072289156626 2.641957722677935e-07
head 171 91 19 672490 0.03296703296703297 1.0464972882042332e-06
head 430 2560 20 240180 0.001171875 3.915758767540511e-08
head 29 1005 39 2423828 0.006965174129353234 4.5383838929663557e-07
head 376 2557 47 1008500 0.0023464998044583495 1.8425658776318898e-07
head 441 463 23 856935 0.004319654427645789 1.659898317010693e-07
head 345 20284 138 2440393 0.00019719976336028398 4.546635303348162e-08
head 489 631 16 1640380 0.004754358161648178 1.2709150484822452e-07
head 81 5 9 2064016 0.2 3.0073027334711126e-06
head 284 2957 29 1627364 0.008116334122421373 3.932444110953095e-07
head 505 2758 24 1654505 0.0010877447425670776 4.361570316854405e-08
head 266 481 14 1348407 0.008316008316008316 1.9451253531344687e-07
head 428 3891 112 1534508 0.0010280133641737343 1.9236294934108033e-07
head 70 49 8 2060553 0.061224489795918366 8.183136689717312e-07
head 142 349 3 970130 0.0028653295128939827 1.4361522127369209e-08
head 415 3742 31 573524 0.0016034206306787815 8.304506033992918e-08
head 99 5981 10 990727 0.008694198294599565 1.4525603498160642e-07
head 444 1106 102 1027389 0.0108499095840868 1.8489745558411902e-06
head 497 79 1 55584 0.16455696202531644 2.7492922317246456e-07
head 130 331 37 1133141 0.00906344410876133 5.602729161048901e-07
head 225 49794 125 795036 0.00018074466803229305 3.7746800988461366e-08
head 291 426 75 1282673 0.11502347417840375 1.441293367958573e-05
head 50 6067 13 469029 0.001318608867644635 2.863940482033915e-08
head 220 14 7 1117570 0.2857142857142857 3.341447481634569e-06
head 270 919 10 2434378 0.009793253536452665 1.6361821183194298e-07
head 132 3738 5 2427983 0.001337613697164259 1.1173914799473546e-08
head 126 5856 153 1559472 0.0008538251366120218 2.1825540671537272e-07
head 527 232 15 327808 0.01293103448275862 3.2406279455507676e-07
head 413 40345 44 1154320 0.00017350353203618787 1.2754564683894502e-08
head 350 2156 3 988648 0.006493506493506494 3.254656637955749e-08
head 137 9 3 1407363 0.3333333333333333 1.6707237408172846e-06
head 450 902 4 969263 0.34478935698447893 2.3041910571803794e-06
head 46 3688 56 1630807 0.0016268980477223427 1.5221344276426452e-07
head 394 50122 17 650379 9.97565939108575e-05 2.833317065748956e-09
head 485 75 24 1117712 0.04 1.6038947911845931e-06
head 155 254 34 2407906 0.011811023622047244 6.70920557336075e-07
head 388 357 16 1374468 0.014005602240896359 3.7439187469294895e-07
head 344 113 4 1331711 0.02654867256637168 1.7742199017528685e-07
head 327 5114 27 672064 0.001564333202972233 7.056635276037024e-08
head 19 245 4 871597 0.012244897959183673 8.183136689717312e-08
head 333 4549 110 1015974 0.0006594856012310398 1.2120000757742448e-07
head 506 3020 23 1668886 0.0006622516556291391 2.5448109959468576e-08
head 419 1850 67 425660 0.0005405405405405405 6.050729223500436e-08
head 370 63 2 918342 0.031746031746031744 1.0607769782966886e-07
head 507 1397 25 60574 0.0014316392269148174 5.979684111729722e-08
head 14 656 23 2387155 0.054878048780487805 2.10877935578767e-06
head 402 17 28 399080 0.11764705882352941 5.503560557986349e-06
head 149 7 14 1115655 0.14285714285714285 3.341447481634569e-06
head 302 8814 26 2476239 0.0004538234626730202 1.9713554463920763e-08
head 325 526 82 854127 0.02091254752851711 2.8650053502227957e-06
head 273 1139 22 2053534 0.01141352063213345 4.1951447750109163e-07
head 534 579 3 1387358 0.02072538860103627 1.0387919632024567e-07
head 335 437 36 415406 0.006864988558352402 4.129019771356218e-07
head 341 96 1 1990538 0.020833333333333332 3.480674460036009e-08
head 381 80 2 1043442 0.0375 1.2530428056129634e-07
head 77 1904 3 959778 0.0010504201680672268 5.264885737869594e-09
head 409 663 4 119344 0.04072398190045249 2.721540935267975e-07
head 285 912 7 952948 0.02631578947368421 3.0776489962423663e-07
head 439 207 24 979685 0.07246376811594203 2.905606505769191e-06
head 330 72 25 370756 0.08333333333333333 3.480674460036009e-06
head 7 347 12 1103350 0.008645533141210375 1.7333156965251372e-07
head 365 23 9 439451 0.043478260869565216 6.537614637980678e-07
head 38 24 4 158483 0.08333333333333333 5.569079136057615e-07
head 140 6 4 2225939 0.3333333333333333 2.227631654423046e-06
head 384 590 14 1425464 0.005084745762711864 1.1893287646495923e-07
head 455 53 4 1777492 0.1509433962264151 1.0087388623802472e-06
head 244 300 5 465221 0.06666666666666667 5.569079136057615e-07
head 32 156 2 1308490 0.01282051282051282 4.283907027736627e-08
head 240 41241 12 325911 4.849542930578793e-05 9.722695807476743e-10
head 192 295 6 1842545 0.03389830508474576 3.398082184713122e-07
head 64 4 5 829554 0.25 2.088404676021606e-06
head 118 104 5 1034243 0.019230769230769232 1.6064651354012353e-07
head 392 805 2 1496122 0.034782608695652174 1.1622426023076763e-07
head 157 306 16 978375 0.016339869281045753 4.367905204751071e-07
head 395 205 8 1526042 0.00975609756097561 1.3039795050281245e-07
head 128 99 5 1034243 0.020202020202020204 1.6875997381992775e-07
head 493 52 5 628778 0.1346153846153846 1.1245255947808645e-06
head 176 19 2 1662201 0.05263157894736842 1.758656569281352e-07
head 521 64 3 932476 0.03125 1.5663035070162044e-07
head 471 156 12 470748 0.038461538461538464 7.711032649925929e-07
head 161 48 4 931263 0.08333333333333333 5.569079136057615e-07
head 100 43 24 896136 0.046511627906976744 1.864993943237899e-06
head 224 20 2 1687213 0.05 1.6707237408172847e-07
head 203 1065 8 468360 0.0028169014084507044 3.765011246912191e-08
head 306 1186 18 1611607 0.0042158516020236085 1.2678342046674167e-07
head 482 59 7 1548619 0.0847457627118644 9.911073038746602e-07
head 231 382 15 1040224 0.002617801047120419 6.560433537240646e-08
head 523 325 6 946139 0.015384615384615385 1.542206529985186e-07
head 82 34 2 974963 0.11764705882352941 3.931114684275964e-07
head 190 48 4 249256 0.041666666666666664 2.7845395680288073e-07
head 530 22906 8 834693 0.00017462673535318258 2.3340242602878333e-09
head 79 1705 19 155919 0.002346041055718475 7.447214328569714e-08
head 191 3 2 261712 0.3333333333333333 1.113815827211523e-06
head 230 2 1 1833660 0.5 8.353618704086423e-07
head 181 72 3 472701 0.013888888888888888 6.961348920072018e-08
head 184 87 1 765978 0.08045977011494253 1.3442604811173553e-07
head 245 291 16 1290080 0.006872852233676976 1.8372219830293163e-07
head 498 12 2 947541 0.08333333333333333 2.7845395680288073e-07
head 114 75 3 248256 0.013333333333333334 6.682894963269139e-08
head 524 9 3 142161 0.1111111111111111 5.569079136057615e-07
head 533 512 23 1037202 0.03515625 1.3509367748014762e-06
head 434 161 2 1399556 0.06832298136645963 2.2829765402472213e-07
head 144 18 6 313023 0.1111111111111111 1.113815827211523e-06
head 189 32 1 1226089 0.0625 1.0442023380108029e-07
head 312 69 8 119419 0.028985507246376812 3.8741420076922544e-07
head 185 486 1 526893 0.00205761316872428 3.4377031704059357e-09
head 255 35 3 509293 0.14285714285714285 7.160244603502648e-07
head 329 5 5 1116035 0.2 1.6707237408172846e-06
head 206 6381 14 1476427 0.0017238677323303557 4.032149445006454e-08
head 258 183 1 2187267 0.01092896174863388 1.8259275855926608e-08
head 297 32 16 522751 0.25 6.682894963269138e-06
head 242 231 3 1153752 0.16017316017316016 8.028153040290847e-07
head 480 290 13 1204316 0.010344827586206896 2.2468353755818655e-07
head 172 13744 1 1538572 0.0006548311990686845 1.0940420305119005e-09
head 124 378 9 1549072 0.0026455026455026454 3.977913668612582e-08
head 340 140 3 1393262 0.02142857142857143 1.0740366905253971e-07
head 525 87 2 883761 0.022988505747126436 7.681488463527746e-08
head 371 1 2 1751411 1.0 3.341447481634569e-06
head 503 151 6 59882 0.013245033112582781 1.3277274761461865e-07
head 490 287 1 527669 0.006968641114982578 1.1642674152036826e-08
head 410 117 7 896042 0.017094017094017096 1.9991566129437597e-07
head 33 205 10 459394 0.5804878048780487 9.698347568646677e-06
head 205 124 2 2467345 0.008064516129032258 2.6947157109956202e-08
head 408 330 1 896622 0.00909090909090909 1.5188397643793497e-08
head 491 3292 8 1170423 0.00030376670716889426 4.060081994695709e-09
head 397 220 4 2266602 0.01818181818181818 1.2150718115034798e-07
head 532 358 8 1844018 0.05307262569832402 7.093575659335957e-07
head 83 26 2 869138 0.15384615384615385 5.140688433283953e-07
head 200 241 7 2421901 0.012448132780082987 1.4558173675171358e-07
head 442 2263 4 1820650 0.0013256738842244808 8.859339323821218e-09
head 151 40 5 1730548 0.15 1.2530428056129635e-06
head 299 1986 6 502889 0.0030211480362537764 3.028502249215622e-08
head 115 173 7 964882 0.09248554913294797 1.0816246183325774e-06
head 295 4643 4 712515 0.0006461339651087659 4.318045421022489e-09
head 182 168 4 838094 0.011904761904761904 7.955827337225165e-08
head 49 16 1 1772989 0.125 2.0884046760216058e-07
head 162 1 3 1850255 1.0 5.012171222451854e-06
head 69 22 4 339234 0.09090909090909091 6.075359057517399e-07
head 276 676 7 1375473 0.034023668639053255 3.9790905661476747e-07
head 272 1009 6 2194479 0.002973240832507433 2.98047842762251e-08
head 169 174 5 1573908 0.005747126436781609 4.800930289704841e-08
head 237 422 3 126804 0.004739336492890996 2.3754365983184142e-08
head 353 46 1 1876686 0.021739130434782608 3.6320081322114884e-08
head 135 8029 2 1570618 0.00012454851164528583 4.1617231057847415e-10
head 204 124 2 918133 0.008064516129032258 2.6947157109956202e-08
head 108 32 2 2042167 0.03125 1.0442023380108029e-07
head 16 2 1 989341 0.5 8.353618704086423e-07
head 367 67 2 2407781 0.04477611940298507 1.4961705141647324e-07
head 496 246 2 1628953 0.016260162601626018 5.433247937617186e-08
head 510 1637 2 399405 0.0018326206475259622 6.12360564746714e-09
head 290 498 3 1667425 0.004016064257028112 2.012920169659379e-08
head 269 1486 2 38944 0.002018842530282638 6.745856288629682e-09
head 453 52 2 519304 0.038461538461538464 1.2851721083209884e-07
head 301 2611 4 35564 0.0015319800842589046 1.0238061988922464e-08
head 226 13 3 2395754 0.15384615384615385 7.711032649925929e-07
head 492 1301 1 1102323 0.0007686395080707148 1.2841842742638621e-09
head 253 56 1 527669 0.03571428571428571 5.966870502918873e-08
head 60 518 4 2427095 0.011583011583011582 7.740804976759619e-08
head 400 673 3 519228 0.022288261515601784 1.1171258296698039e-07
head 179 8 1 665806 0.125 2.0884046760216058e-07
head 389 49 3 1508576 0.10204081632653061 5.11446043107332e-07
head 40 484 2 876190 0.022727272727272728 7.594198821896748e-08
head 465 5 1 2172715 0.2 3.3414474816345694e-07
head 36 3615 3 2459314 0.0005532503457814661 2.7729854619374017e-09
head 246 148 2 1706213 0.14864864864864866 4.967016526754089e-07
head 98 571 2 797281 0.03677758318739054 1.22890362722112e-07
head 314 36 1 2471263 0.05555555555555555 9.281798560096026e-08
head 217 3 1 2410711 0.3333333333333333 5.569079136057615e-07
head 57 622 1 2397388 0.00964630225080386 1.6116306181517217e-08
head 47 620 1 248203 0.0016129032258064516 2.6947157109956203e-09
head 401 361 3 806814 0.00554016620498615 2.776826162023188e-08
head 334 94 1 448673 0.07446808510638298 1.2441559772043608e-07
head 316 449 1 1299156 0.0022271714922048997 3.720988286898184e-09
head 6 15 1 826557 0.13333333333333333 2.2276316544230463e-07
head 232 24 1 2475619 0.08333333333333333 1.3922697840144037e-07
head 131 8 1 254640 0.375 6.265214028064818e-07
head 129 84 2 806014 0.13095238095238096 4.375705035473841e-07
head 398 122 1 365398 0.04918032786885246 8.216674135166973e-08
head 168 3 1 298009 0.6666666666666666 1.113815827211523e-06
head 315 1 1 1413520 1.0 1.6707237408172846e-06
head 234 182 1 919112 0.016483516483516484 2.7539402321164035e-08
head 437 174 1 2205242 0.011494252873563218 1.9203721158819364e-08
head 445 246 1 2405103 0.0040650406504065045 6.791559922021483e-09
head 407 38087 1 928827 5.2511355580644315e-05 8.773196843108067e-11
tail 468 15863 276 64970 0.0004412784466998676 2.0348220811063442e-07
tail 260 1260348 25515 1215229 0.1712876126276235 0.0073017367777984425
tail 243 324923 12571 2432232 0.053067957639194516 0.001114568703472122
tail 24 1639330 47099 2397702 0.13628189565249219 0.010723942980432033
tail 257 31456 10097 892258 0.0006993896236012207 1.1798211706596728e-05
tail 418 24780 2759 2396992 0.010371267150928168 4.780663389165159e-05
tail 326 59565 2933 241414 0.09843028624192059 0.0004823313104447852
tail 289 221291 10339 1226798 0.062343249386554354 0.001076893147873395
tail 188 257410 7571 836236 0.062044986597257296 0.0007848101030800376
tail 125 72356 4996 2443866 0.7331803858698657 0.006119809617363913
tail 111 56928 128898 435641 0.5512050309162451 0.1187036287702674
tail 436 1301107 8315 1707811 0.02007521287641985 0.00027888622048446147
tail 265 47185 1072 2380426 0.040902829288968955 7.325761557277375e-05
tail 296 22321 7624 985182 0.6818690918865642 0.008685374244696146
tail 404 57137 31117 1154242 0.6372228153385722 0.03312788278350987
tail 75 404421 4298 2496535 0.0178749372559783 0.0001283558246044056
tail 343 22861 495 224280 0.22540571278596735 0.0001864123844553421
tail 337 70182 12195 1215229 0.3861246473454732 0.007867087367788189
tail 53 3343 23101 61725 0.79060723900688 0.030513794043699343
tail 252 43248 3890 2271781 0.001595449500554939 1.036901034204512e-05
tail 331 204230 8467 1146370 0.0003721294618812124 5.264150033912727e-06
tail 293 60412 5272 622323 0.00014897702443223201 1.3121979085992605e-06
tail 504 32197 3693 2394712 0.0018945864521539273 1.1689565775231611e-05
tail 426 67911 6876 2272065 0.0008982344539176275 1.0318824387116057e-05
tail 10 4158 44501 435641 0.32227032227032226 0.023960436612493356
tail 235 680780 28752 2432232 0.021078762595845943 0.0010125531200862136
tail 256 17271 1089 2213932 0.0034740316136876847 6.32071618464486e-06
tail 385 47927 1458 1759099 0.003985227533540593 9.707676380647982e-06
tail 338 31882 362 1179662 0.045856596198481904 2.7734160826958876e-05
tail 85 27746 12336 2125301 0.3452029121314784 0.007114648611802189
tail 274 2558406 9386 1730548 0.5903961294649872 0.009258245558227848
tail 494 4556 528 254640 0.04433713784021071 3.911165744087101e-05
tail 282 84080 4524 844164 0.633884395813511 0.004791122787603102
tail 317 4153 1981 664333 0.09270406934745967 0.0003068230041572913
tail 364 339865 13376 2073981 0.005281508834390125 0.00011802905082642735
tail 90 179105 6846 2395651 0.05265626308589933 0.0006022704752809185
tail 17 887 1890 526933 0.03269447576099211 0.00010323829564170842
tail 356 6276 426 2438962 0.02676864244741874 1.905200074614586e-05
tail 86 135521 6652 2412097 0.06793781037625166 0.0007550373400454538
tail 396 1884 1777 280493 0.6199575371549894 0.0018405771072828787
tail 303 13048 10603 1153167 0.1289086450030656 0.0022835758883948264
tail 281 61969 1850 339684 0.023576304281172845 7.287055887408217e-05
tail 310 947 17 2459230 0.012671594508975714 3.5990247426264635e-07
tail 473 6901 2888 964444 0.012606868569772497 6.082877325355567e-05
tail 221 632 3088 1262612 0.022151898734177215 0.00011428596323261527
tail 476 1453 7 391634 0.3496214728148658 4.088846264519107e-06
tail 236 38104 270 2084552 0.0025719084610539575 1.1601761017747573e-06
tail 22 341 22 2459476 0.04985337243401759 1.8324066834770217e-06
tail 469 583 3472 1628732 0.008576329331046312 4.9749166621934926e-05
tail 113 180 1607 607105 0.2222222222222222 0.0005966340114429725
tail 175 554674 6708 2471150 0.0006255926904812556 7.011151692941464e-06
tail 422 249966 5332 293048 0.04505412736132114 0.0004013556370896733
tail 438 310 360 508511 0.02258064516129032 1.3581367183417927e-05
tail 210 14445 43 1625999 0.03454482519903081 2.4817389620433698e-06
tail 435 94463 326 160185 0.04900331346664832 2.6689945735105664e-05
tail 372 3718 465 1215229 0.026358257127487898 2.0477375166499105e-05
